machine_id,start_time,end_time,mode,status,duration_minutes
1,2025-07-31T00:00:00.395000-04:00,2025-07-31T12:00:00-04:00,NOR,uptime,719.9934166666666
1,2025-08-01T08:26:00.084000-04:00,2025-08-01T08:26:00.672000-04:00,DCP,uptime,0.0098
1,2025-08-01T08:26:00.672000-04:00,2025-08-01T09:21:02.564000-04:00,NOR,uptime,55.03153333333333
1,2025-08-01T09:21:02.564000-04:00,2025-08-01T09:21:03.177000-04:00,DCP,uptime,0.010216666666666667
1,2025-08-01T09:21:03.177000-04:00,2025-08-01T09:48:17.962000-04:00,NOR,uptime,27.24641666666667
1,2025-08-01T09:48:17.962000-04:00,2025-08-01T09:48:18.568000-04:00,DCP,uptime,0.0101
1,2025-08-01T09:48:18.568000-04:00,2025-08-01T11:33:03.451000-04:00,NOR,uptime,105.74805
1,2025-08-01T11:33:03.451000-04:00,2025-08-01T11:33:04.063000-04:00,DCP,uptime,0.0102
1,2025-08-01T11:33:04.063000-04:00,2025-08-01T12:30:07.797000-04:00,NOR,uptime,57.06223333333333
1,2025-08-01T12:30:07.797000-04:00,2025-08-01T12:30:08.401000-04:00,DCP,uptime,0.010066666666666666
1,2025-08-01T12:30:08.401000-04:00,2025-08-01T14:59:12.693000-04:00,NOR,uptime,149.07153333333335
1,2025-08-01T14:59:12.693000-04:00,2025-08-01T14:59:13.281000-04:00,DCP,uptime,0.0098
1,2025-08-01T14:59:13.281000-04:00,2025-08-01T16:44:59.603000-04:00,NOR,uptime,105.77203333333333
1,2025-08-01T16:44:59.603000-04:00,2025-08-01T16:45:00.216000-04:00,DCP,uptime,0.010216666666666667
1,2025-08-01T16:45:00.216000-04:00,2025-08-01T17:12:36.450000-04:00,NOR,uptime,27.6039
1,2025-08-01T17:12:36.450000-04:00,2025-08-01T17:12:37.056000-04:00,DCP,uptime,0.0101
1,2025-08-01T17:12:37.056000-04:00,2025-08-01T19:47:10.159000-04:00,NOR,uptime,154.5517166666667
1,2025-08-01T19:47:10.159000-04:00,2025-08-01T19:47:10.745000-04:00,DCP,uptime,0.009766666666666667
1,2025-08-01T19:47:10.745000-04:00,2025-08-01T21:32:57.100000-04:00,NOR,uptime,105.77258333333333
1,2025-08-01T21:32:57.100000-04:00,2025-08-01T21:32:57.708000-04:00,DCP,uptime,0.010133333333333333
1,2025-08-01T21:32:57.708000-04:00,2025-08-01T22:28:00.937000-04:00,NOR,uptime,55.05381666666666
1,2025-08-01T22:28:00.937000-04:00,2025-08-01T22:28:01.525000-04:00,DCP,uptime,0.0098
1,2025-08-01T22:28:01.525000-04:00,2025-08-02T00:47:45.574000-04:00,NOR,uptime,139.73415
1,2025-08-02T00:47:45.574000-04:00,2025-08-02T00:47:46.178000-04:00,DCP,uptime,0.010066666666666666
1,2025-08-02T00:47:46.178000-04:00,2025-08-02T01:15:00.600000-04:00,NOR,uptime,27.240366666666667
1,2025-08-02T01:15:00.600000-04:00,2025-08-02T01:15:01.206000-04:00,DCP,uptime,0.0101
1,2025-08-02T01:15:01.206000-04:00,2025-08-02T03:34:45.618000-04:00,NOR,uptime,139.7402
1,2025-08-02T03:34:45.618000-04:00,2025-08-02T03:34:46.204000-04:00,DCP,uptime,0.009766666666666667
1,2025-08-02T03:34:46.204000-04:00,2025-08-02T04:57:00.512000-04:00,NOR,uptime,82.23846666666667
1,2025-08-02T04:57:00.512000-04:00,2025-08-02T04:57:01.121000-04:00,DCP,uptime,0.01015
1,2025-08-02T05:57:01.121000-04:00,2025-08-02T05:52:03.490000-04:00,NOR,uptime,55.03965
1,2025-08-02T05:52:03.490000-04:00,2025-08-02T05:52:04.078000-04:00,DCP,uptime,0.0098
1,2025-08-02T05:52:04.078000-04:00,2025-08-02T08:26:37.718000-04:00,NOR,uptime,154.56066666666666
1,2025-08-02T08:26:37.718000-04:00,2025-08-02T08:26:38.304000-04:00,DCP,uptime,0.009766666666666667
1,2025-08-02T08:26:38.304000-04:00,2025-08-02T08:59:30.539000-04:00,NOR,uptime,32.74415
1,2025-08-02T08:59:30.539000-04:00,2025-08-02T10:12:51.458000-04:00,NOR,uptime,73.34864999999999
1,2025-08-02T10:12:51.458000-04:00,2025-08-02T10:12:52.063000-04:00,DCP,uptime,0.010083333333333333
1,2025-08-02T10:12:52.063000-04:00,2025-08-02T10:36:11.942000-04:00,NOR,uptime,23.331316666666666
1,2025-08-02T10:36:11.942000-04:00,2025-08-02T10:36:12.536000-04:00,DCP,uptime,0.009899999999999999
1,2025-08-02T10:36:12.536000-04:00,2025-08-02T11:23:12.907000-04:00,NOR,uptime,47.00618333333333
1,2025-08-02T11:23:12.907000-04:00,2025-08-02T11:23:13.504000-04:00,DCP,uptime,0.009949999999999999
1,2025-08-02T11:23:13.504000-04:00,2025-08-02T14:19:50.560000-04:00,NOR,uptime,176.6176
1,2025-08-02T14:19:50.560000-04:00,2025-08-02T14:19:51.570000-04:00,DCP,uptime,0.016833333333333332
1,2025-08-02T14:19:51.570000-04:00,2025-08-02T17:01:19.948000-04:00,NOR,uptime,161.47296666666668
1,2025-08-02T17:01:19.948000-04:00,2025-08-02T17:01:20.517000-04:00,DCP,uptime,0.009483333333333333
1,2025-08-02T17:01:20.517000-04:00,2025-08-02T17:29:11.495000-04:00,NOR,uptime,27.849633333333333
1,2025-08-02T17:29:11.495000-04:00,2025-08-02T17:29:11.696000-04:00,DCP,uptime,0.00335
1,2025-08-02T17:29:11.696000-04:00,2025-08-02T18:44:42.049000-04:00,NOR,uptime,75.50588333333333
1,2025-08-02T18:44:42.049000-04:00,2025-08-02T18:44:42.855000-04:00,DCP,uptime,0.013433333333333334
1,2025-08-02T18:44:42.855000-04:00,2025-08-02T20:48:55.615000-04:00,NOR,uptime,124.21266666666666
1,2025-08-02T20:48:55.615000-04:00,2025-08-02T20:48:56.822000-04:00,DCP,uptime,0.020116666666666668
1,2025-08-02T20:48:56.822000-04:00,2025-08-02T21:15:05.155000-04:00,NOR,uptime,26.138883333333336
1,2025-08-02T21:15:05.155000-04:00,2025-08-02T21:15:05.797000-04:00,DCP,uptime,0.0107
1,2025-08-02T21:15:05.797000-04:00,2025-08-02T23:12:47.590000-04:00,NOR,uptime,117.69654999999999
1,2025-08-02T23:12:47.590000-04:00,2025-08-02T23:12:48.192000-04:00,DCP,uptime,0.010033333333333333
1,2025-08-02T23:12:48.192000-04:00,2025-08-03T02:07:11.195000-04:00,NOR,uptime,174.38338333333334
1,2025-08-03T02:07:11.195000-04:00,2025-08-03T02:07:11.794000-04:00,DCP,uptime,0.009983333333333334
1,2025-08-03T02:07:11.794000-04:00,2025-08-03T03:16:15.329000-04:00,NOR,uptime,69.05891666666666
1,2025-08-03T03:16:15.329000-04:00,2025-08-03T05:10:34.976000-04:00,NOR,uptime,114.32745
1,2025-08-03T05:10:34.976000-04:00,2025-08-03T05:10:35.585000-04:00,DCP,uptime,0.01015
